file_name,total,antithetical_disputation,apodictic_law,apodictic_prohibition,attributive_praise,beatitude_formula,casuistic_law,confessional_creed,covenant_promise,declarative_assertion,deliberative_rhetoric,dialogic_controversy,divine_oath_formula,doxological_formula,elenctic_questioning,enumerative_list,hymnic_praise,missionary_commission,narrative_chronicle,prophetic_admonition,prophetic_judgment_speech,royal_legitimation_formula,scriptural_warrant,theological_rationale,theophanic_declaration,theophanic_self_presentation,universal_truth_claim,woe_oracle,antithetical_disputation_rate,apodictic_law_rate,apodictic_prohibition_rate,attributive_praise_rate,beatitude_formula_rate,casuistic_law_rate,confessional_creed_rate,covenant_promise_rate,declarative_assertion_rate,deliberative_rhetoric_rate,dialogic_controversy_rate,divine_oath_formula_rate,doxological_formula_rate,elenctic_questioning_rate,enumerative_list_rate,hymnic_praise_rate,missionary_commission_rate,narrative_chronicle_rate,prophetic_admonition_rate,prophetic_judgment_speech_rate,royal_legitimation_formula_rate,scriptural_warrant_rate,theological_rationale_rate,theophanic_declaration_rate,theophanic_self_presentation_rate,universal_truth_claim_rate,woe_oracle_rate
bible_BKR_Mi.txt,155,1,38,0,0,0,2,0,0,6,25,6,0,2,12,3,0,3,28,5,1,2,1,13,0,5,0,2,0.0065,0.2452,0.0,0.0,0.0,0.0129,0.0,0.0,0.0387,0.1613,0.0387,0.0,0.0129,0.0774,0.0194,0.0,0.0194,0.1806,0.0323,0.0065,0.0129,0.0065,0.0839,0.0,0.0323,0.0,0.0129
bible_BKR_Mk.txt,905,18,117,3,4,0,20,0,2,40,78,77,2,2,57,9,0,11,366,10,1,3,3,67,12,0,2,1,0.0199,0.1293,0.0033,0.0044,0.0,0.0221,0.0,0.0022,0.0442,0.0862,0.0851,0.0022,0.0022,0.063,0.0099,0.0,0.0122,0.4044,0.011,0.0011,0.0033,0.0033,0.074,0.0133,0.0,0.0022,0.0011
bible_BKR_Mt.txt,1376,27,216,4,4,6,30,1,13,77,100,123,3,6,84,15,0,31,472,25,4,10,2,81,17,5,12,8,0.0196,0.157,0.0029,0.0029,0.0044,0.0218,0.0007,0.0094,0.056,0.0727,0.0894,0.0022,0.0044,0.061,0.0109,0.0,0.0225,0.343,0.0182,0.0029,0.0073,0.0015,0.0589,0.0124,0.0036,0.0087,0.0058
bible_BKR_Na.txt,64,0,6,0,0,0,1,0,0,9,14,2,0,0,6,2,0,0,14,4,0,1,1,2,1,0,0,1,0.0,0.0938,0.0,0.0,0.0,0.0156,0.0,0.0,0.1406,0.2188,0.0312,0.0,0.0,0.0938,0.0312,0.0,0.0,0.2188,0.0625,0.0,0.0156,0.0156,0.0312,0.0156,0.0,0.0,0.0156
bible_BKR_Neh.txt,427,8,29,0,2,0,1,0,1,11,33,14,0,0,9,69,0,3,159,0,1,8,6,51,5,17,0,0,0.0187,0.0679,0.0,0.0047,0.0,0.0023,0.0,0.0023,0.0258,0.0773,0.0328,0.0,0.0,0.0211,0.1616,0.0,0.007,0.3724,0.0,0.0023,0.0187,0.0141,0.1194,0.0117,0.0398,0.0,0.0
bible_BKR_Nu.txt,1488,6,180,4,6,0,16,0,26,64,64,51,3,0,31,201,0,17,581,11,4,7,28,94,13,65,16,0,0.004,0.121,0.0027,0.004,0.0,0.0108,0.0,0.0175,0.043,0.043,0.0343,0.002,0.0,0.0208,0.1351,0.0,0.0114,0.3905,0.0074,0.0027,0.0047,0.0188,0.0632,0.0087,0.0437,0.0108,0.0
bible_BKR_Oz.txt,274,1,40,2,0,0,1,2,2,26,45,6,1,1,4,4,0,3,72,10,3,5,3,33,0,7,1,2,0.0036,0.146,0.0073,0.0,0.0,0.0036,0.0073,0.0073,0.0949,0.1642,0.0219,0.0036,0.0036,0.0146,0.0146,0.0,0.0109,0.2628,0.0365,0.0109,0.0182,0.0109,0.1204,0.0,0.0255,0.0036,0.0073
bible_BKR_Pis.txt,163,0,28,0,0,0,0,0,5,5,38,7,1,0,9,5,0,1,55,1,0,0,0,8,0,0,0,0,0.0,0.1718,0.0,0.0,0.0,0.0,0.0,0.0307,0.0307,0.2331,0.0429,0.0061,0.0,0.0552,0.0307,0.0,0.0061,0.3374,0.0061,0.0,0.0,0.0,0.0491,0.0,0.0,0.0,0.0
bible_BKR_Pl.txt,198,0,29,0,0,0,5,0,0,23,27,5,1,1,7,7,0,1,69,6,1,1,3,10,1,0,1,0,0.0,0.1465,0.0,0.0,0.0,0.0253,0.0,0.0,0.1162,0.1364,0.0253,0.0051,0.0051,0.0354,0.0354,0.0,0.0051,0.3485,0.0303,0.0051,0.0051,0.0152,0.0505,0.0051,0.0,0.0051,0.0
bible_BKR_Pr.txt,940,20,153,1,33,0,33,5,6,100,148,35,2,10,25,27,0,7,207,38,27,5,5,37,8,1,6,1,0.0213,0.1628,0.0011,0.0351,0.0,0.0351,0.0053,0.0064,0.1064,0.1574,0.0372,0.0021,0.0106,0.0266,0.0287,0.0,0.0074,0.2202,0.0404,0.0287,0.0053,0.0053,0.0394,0.0085,0.0011,0.0064,0.0011
bible_BKR_R.txt,516,39,85,2,4,0,17,1,1,31,73,26,16,5,36,19,3,11,53,12,7,0,0,57,5,10,3,0,0.0756,0.1647,0.0039,0.0078,0.0,0.0329,0.0019,0.0019,0.0601,0.1415,0.0504,0.031,0.0097,0.0698,0.0368,0.0058,0.0213,0.1027,0.0233,0.0136,0.0,0.0,0.1105,0.0097,0.0194,0.0058,0.0
