illocutionary_force,file_name,count,total,rate,corpus_mean,corpus_std,zscore,rank
directive,bible_BKR_Jb.txt,368,1134,0.3245,0.2591,0.0809,0.809,14
directive,bible_BKR_Jk.txt,59,143,0.4126,0.2591,0.0809,1.899,1
directive,bible_BKR_Jl.txt,33,93,0.3548,0.2591,0.0809,1.184,9
directive,bible_BKR_Jon.txt,17,67,0.2537,0.2591,0.0809,-0.066,35
directive,bible_BKR_Joz.txt,118,783,0.1507,0.2591,0.0809,-1.34,61
directive,bible_BKR_Jr.txt,546,1715,0.3184,0.2591,0.0809,0.734,16
directive,bible_BKR_Ju.txt,6,23,0.2609,0.2591,0.0809,0.023,33
directive,bible_BKR_Kaz.txt,93,297,0.3131,0.2591,0.0809,0.668,17
directive,bible_BKR_Ko.txt,29,74,0.3919,0.2591,0.0809,1.643,5
directive,bible_BKR_L.txt,332,1404,0.2365,0.2591,0.0809,-0.279,43
directive,bible_BKR_Lv.txt,257,1044,0.2462,0.2591,0.0809,-0.159,38
directive,bible_BKR_Mal.txt,30,100,0.3,0.2591,0.0809,0.506,20
directive,bible_BKR_Mi.txt,58,155,0.3742,0.2591,0.0809,1.424,7
directive,bible_BKR_Mk.txt,217,905,0.2398,0.2591,0.0809,-0.238,41
directive,bible_BKR_Mt.txt,390,1376,0.2834,0.2591,0.0809,0.301,23
directive,bible_BKR_Na.txt,17,64,0.2656,0.2591,0.0809,0.081,31
directive,bible_BKR_Neh.txt,41,427,0.096,0.2591,0.0809,-2.016,64
directive,bible_BKR_Nu.txt,258,1488,0.1734,0.2591,0.0809,-1.059,56
directive,bible_BKR_Oz.txt,59,274,0.2153,0.2591,0.0809,-0.541,48
directive,bible_BKR_Pis.txt,39,163,0.2393,0.2591,0.0809,-0.244,42
directive,bible_BKR_Pl.txt,46,198,0.2323,0.2591,0.0809,-0.331,45
directive,bible_BKR_Pr.txt,248,940,0.2638,0.2591,0.0809,0.059,32
directive,bible_BKR_R.txt,161,516,0.312,0.2591,0.0809,0.655,18
directive,bible_BKR_Rt.txt,37,148,0.25,0.2591,0.0809,-0.112,37
directive,bible_BKR_Sd.txt,160,888,0.1802,0.2591,0.0809,-0.975,55
directive,bible_BKR_Sf.txt,16,75,0.2133,0.2591,0.0809,-0.566,49
directive,bible_BKR_Sk.txt,225,1156,0.1946,0.2591,0.0809,-0.797,52
directive,bible_BKR_Tit.txt,9,37,0.2432,0.2591,0.0809,-0.196,40
directive,bible_BKR_Z.txt,796,2813,0.283,0.2591,0.0809,0.296,24
