word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
den,všecka,4,7.616,7.616,-0.669,0.0
každý,slovo,4,7.614,7.614,-0.671,0.0
moci,věc,6,7.611,7.611,-0.088,0.0
druhý,nenávidět,3,7.606,7.606,-1.093,0.0
dobrý,pole,6,7.596,7.596,-0.103,0.0
spravedlivý,upřímý,7,7.586,7.586,0.109,0.109
odejmout,zlý,5,7.585,7.585,-0.377,0.0
zlý,říkat,5,7.585,7.585,-0.377,0.0
den,druhý,3,7.579,7.579,-1.12,0.0
skutek,člověk,4,7.579,7.579,-0.705,0.0
hospodin,věk,12,7.56,7.56,0.861,0.861
bezbožný,bývat,11,7.56,7.56,0.735,0.735
pravda,sláva,5,7.553,7.553,-0.409,0.0
slovo,všeliký,3,7.55,7.55,-1.149,0.0
bůh,člověk,14,7.545,7.545,1.068,1.068
hospodin,ohavnost,7,7.541,7.541,0.064,0.064
boží,každý,3,7.54,7.54,-1.16,0.0
bůh,kristus,8,7.536,7.536,0.252,0.252
duše,nenávidět,6,7.536,7.536,-0.164,0.0
chodit,pravda,6,7.516,7.516,-0.183,0.0
pravda,zdali,3,7.516,7.516,-1.183,0.0
naděje,pravda,3,7.516,7.516,-1.183,0.0
milovat,přikázaný,3,7.516,7.516,-1.183,0.0
osoba,pravda,3,7.516,7.516,-1.183,0.0
mistře,pravda,3,7.516,7.516,-1.183,0.0
hospodin,milosrdenství,19,7.512,7.512,1.476,1.476
ohavnost,činit,3,7.512,7.512,-1.187,0.0
den,život,4,7.509,7.509,-0.776,0.0
odvrátit,věc,3,7.496,7.496,-1.203,0.0
dobrý,nést,8,7.496,7.496,0.212,0.212
milovat,svět,7,7.491,7.491,0.014,0.014
bezbožný,pročež,4,7.488,7.488,-0.796,0.0
bezbožný,ohavnost,4,7.488,7.488,-0.796,0.0
odplacovat,zlý,4,7.486,7.486,-0.798,0.0
hospodin,oko,17,7.477,7.477,1.281,1.281
bůh,jedny,3,7.475,7.475,-1.225,0.0
bůh,ukázat,3,7.475,7.475,-1.225,0.0
dobrý,ovoce,11,7.47,7.47,0.646,0.646
lidé,soud,3,7.464,7.464,-1.236,0.0
soud,toba,3,7.464,7.464,-1.236,0.0
všecek,činit,6,7.458,7.458,-0.241,0.0
soud,činit,10,7.458,7.458,0.496,0.496
duše,život,3,7.456,7.456,-1.243,0.0
duše,mít,11,7.452,7.452,0.627,0.627
bezbožný,rada,3,7.451,7.451,-1.248,0.0
milovat,pan,5,7.446,7.446,-0.516,0.0
