word1,word2,pair_count,pmi,ppmi,pmi2,ppmi2
hospodin,mluvil,12,7.758,7.758,0.034,0.034
bůh,všem,5,7.747,7.747,-1.24,0.0
syn,viděl,5,7.723,7.723,-1.264,0.0
pokolení,země,5,7.723,7.723,-1.264,0.0
hospodin,více,11,7.718,7.718,-0.132,0.0
domu,hospodin,20,7.718,7.718,0.731,0.731
hospodin,země,58,7.718,7.718,2.267,2.267
hospodin,vyšel,5,7.718,7.718,-1.269,0.0
hospodin,kde,5,7.718,7.718,-1.269,0.0
hospodin,prosím,5,7.718,7.718,-1.269,0.0
král,ním,6,7.714,7.714,-1.01,0.0
duch,kristus,8,7.692,7.692,-0.617,0.0
bůh,člověk,6,7.688,7.688,-1.036,0.0
bůh,němž,6,7.688,7.688,-1.036,0.0
bůh,vody,6,7.688,7.688,-1.036,0.0
bůh,služebník,5,7.677,7.677,-1.31,0.0
krev,syn,5,7.674,7.674,-1.312,0.0
bůh,zdaliž,8,7.66,7.66,-0.649,0.0
bůh,pán,35,7.647,7.647,1.468,1.468
duch,slovo,6,7.646,7.646,-1.077,0.0
dům,syn,6,7.635,7.635,-1.089,0.0
král,všecky,7,7.633,7.633,-0.868,0.0
milosrdenství,syn,5,7.627,7.627,-1.36,0.0
hospodin,stolici,5,7.624,7.624,-1.363,0.0
bůh,víra,11,7.621,7.621,-0.228,0.0
bůh,slávy,5,7.609,7.609,-1.377,0.0
hospodin,zákon,8,7.602,7.602,-0.707,0.0
hospodin,pravím,7,7.586,7.586,-0.915,0.0
bůh,láska,6,7.577,7.577,-1.147,0.0
hospodin,šalomoun,6,7.566,7.566,-1.158,0.0
hospodin,tebou,9,7.566,7.566,-0.573,0.0
hospodin,meč,6,7.566,7.566,-1.158,0.0
dům,hospodin,11,7.552,7.552,-0.297,0.0
učinil,země,5,7.525,7.525,-1.462,0.0
