subj,verb,obj,count_total
Joas,poslat,cedra,4
král,poslat,Amaziáš,4
král,poslat,cedra,4
bodlák,poslat,Amaziáš,4
bodlák,poslat,cedra,4
kterýž,být,léta,4
kterýž,přivést,Izrael,4
otec,činit,kterýž,4
hospodin,vyplénit,kterýž,4
hospodin,vyhnat,tvář,4
národ,znát,obyčej,4
král,pravit,tento,4
Ezechiáš,svodit,vy,4
hospodin,vysvobodit,my,4
hospodin,slyšet,ó,4
kterýž,slyšet,ó,4
ten,doufat,jenž,4
otec,činit,ten,4
král,být,on,4
Nabuchodonozor,přitáhnout,Jeruzalý,4
král,přitáhnout,Jeruzalý,4
kterýž,být,levice,4
kněz,troubit,trouba,4
ten,sloužit,král,4
kterýž,pojmout,žena,4
hospodin,být,vy,4
ten,činit,což,4
kterýž,přijít,země,4
což,být,město,4
dvanáctý,počít,léta,4
hospodin,pravit,povězt,4
já,uvést,kterýž,4
kdo,být,lid,4
kterýž,být,rameno,4
hospodin,dát,nepřítel,4
David,učinit,co,4
král,říci,jenž,4
ten,stát,já,4
hospodin,vysvobodit,ruka,4
král,vytrhnout,my,4
král,vytrhnout,ruka,4
tentýž,vytrhnout,my,4
tentýž,vytrhnout,ruka,4
kterýž,porodit,Saul,4
kterýž,porodit,Adriel,4
kterýž,porodit,syn,4
kterýž,mít,já,4
kterýž,přijít,já,4
dům,být,jenž,4
tisíc,vycházet,kteréhož,4
sto,vycházet,kteréhož,4
duch,být,toba,4
všickn,sloužit,on,4
léta,ukázat,já,4
vidění,ukázat,já,4
kterýž,ukázat,já,4
jakýž,být,den,4
kterýž,bydlet,Ar,4
hospodin,učinit,co,4
já,přikazovat,kteréž,4
hospodin,vyvést,ty,4
kterýž,být,hospodin,4
ohavnost,být,hospodin,4
kterýž,jít,teba,4
kterýž,mluvit,hora,4
hospodin,poslat,vy,4
hospodin,požehnat,jenž,4
kterýž,mít,kopyto,4
kterýž,půjčit,svůj,4
bůh,požehnat,toba,4
bůh,dávat,toba,4
hospodin,bojovat,vy,4
kterýž,obývat,žena,4
ten,umřít,smrt,4
tolikéž,vejít,shromáždění,4
kterýž,nosit,truhlo,4
bůh,být,on,4
kdo,vytrhnout,ruka,4
kterýž,říci,otec,4
hospodin,poslat,jenž,4
kterýž,slout,tělo,4
co,dít,on,4
kterýž,vidět,on,4
věc,vidět,král,4
ten,stát,den,4
kterýž,vejít,Egypt,4
kterýž,mluvit,Mojžíš,4
Mojžíš,vyjít,Faraon,4
kterýž,být,medenice,4
kterýž,být,nádoba,4
kdo,nasbírat,mnoho,4
kdo,nasbírat,málo,4
hospodin,být,prostřed,4
kterýž,vytrhnout,vy,4
kdož,zlořečit,otec,4
kterýž,jít,my,4
Mojžíš,sstupovat,hora,4
Mojžíš,mluvit,on,4
jeden,spojit,čaloun,4
oko,udělat,čaloun,4
oko,udělat,jeden,4
Dska,obložit,zlato,4
syn,učinit,všecek,4
kolo,být,pohledění,4
udělání,být,pohledění,4
já,posílat,tvář,4
pravost,činit,kterouž,4
kdo,být,pole,4
kdo,být,město,4
kdož,být,pole,4
kdož,být,město,4
Kananejská,být,země,4
kterýž,sedět,levice,4
kterýž,sedět,pravice,4
ť,navrátit,způsob,4
sestra,navrátit,způsob,4
dcera,navrátit,způsob,4
já,být,te,4
jenž,sstupovat,jáma,4
já,přivést,on,4
ten,přijít,já,4
loket,zšířit,strana,4
zeď,zdélit,sto,4
sto,být,on,4
kterýž,být,stavení,4
kterýž,být,komůrka,4
stáva,být,on,4
město,být,prostřed,4
kterýž,bydlit,on,4
kterýž,přijít,Jeruzalém,4
příbytek,být,Jeruzalém,4
kterýž,přijít,my,4
kterýž,mít,muž,4
ten,být,vy,4
což,hýbat,země,4
zlořečený,nad,všecka,4
kterýž,být,tělo,4
bůh,mluvit,on,4
kterýž,přijít,toba,4
co,být,já,4
anděl,říci,já,4
Lában,nazvat,on,4
Jákob,nazvat,on,4
Gál,nazvat,on,4
Izrael,říci,Jozef,4
otec,sloužit,jenž,4
uhel,dotkci,ústa,4
člověk,být,on,4
pokoj,učinit,já,4
bůh,přijít,pomsta,4
bůh,přijít,odplata,4
kdo,vytrhnout,on,4
zlý,přijít,ty,4
zpuštění,přijít,ty,4
já,stvořit,kovář,4
já,stvořit,zhoubka,4
kterýž,znát,ty,4
kterýž,činit,ten,4
smlouva,mít,on,4
kterýž,hledat,já,4
požehnání,být,bůh,4
kterýž,dávat,se,4
slovo,být,počátek,4
slovo,být,bůh,4
ten,říci,já,4
ten,povědět,on,4
což,narodit,tělo,4
což,narodit,duch,4
kdož,věřit,on,4
kterýž,činit,vzkříšení,4
všecko,přijít,já,4
kdož,přijít,já,4
kdo,vidět,otec,4
ten,vidět,otec,4
ť,vidět,otec,4
kdož,jesnat,on,4
kole,jesnat,on,4
já,dát,život,4
já,mluvit,vy,4
kdož,hledat,chvála,4
vy,pravit,já,4
Ježíš,uslyšat,ten,4
učedlník,říci,on,4
některý,říci,on,4
světlo,být,čas,4
ť,věřit,já,4
kdož,vidět,já,4
Petr,dědět,on,4
kdo,přijímat,ten,4
pan,říci,on,4
bůh,oslavit,on,4
já,poslat,svět,4
duch,nutit,já,4
duše,mít,já,4
žádný,být,vy,4
já,být,prostřed,4
Jozue,říci,on,4
voda,rozdělit,smlouva,4
kterýž,vysušit,tvář,4
kterýž,bydlit,západ,4
zbrojní,jít,Hospodinová,4
dům,přistupovat,pokolení,4
dům,přistupovat,rod,4
dům,přistupovat,dome,4
dům,přistupovat,osoba,4
Mojžíš,dát,východ,4
kterýž,kralovat,Astarot,4
síla,mít,tehdáž,4
jenž,být,konec,4
kterýž,být,Betsan,4
kámen,být,svědectví,4
ť,stát,on,4
kterýž,opanovat,on,4
kterýž,bydlet,on,4
kterýž,mít,sen,4
hospodin,mluvit,co,4
Nabuchodonozor,přestěhovat,kterýž,4
kterýž,projít,díl,4
kterýž,být,pokoj,4
jenž,být,pokoj,4
král,ustanovit,země,4
král,zmordovat,všecka,4
prchlivost,mít,obyvatel,4
prchlivost,mít,vy,4
kterýž,užívat,pavéza,4
každý,nechat,meč,4
každý,nechat,země,4
každý,nechat,svůj,4
ješto,mít,potěšitel,4
dřevo,padat,poledne,4
dřevo,padat,místo,4
kterýž,být,Hierapoli,4
kdo,mít,sukně,4
kdo,mít,pokrm,4
což,být,my,4
podobenství,povědět,on,4
Jdouc,říci,on,4
já,posílat,anděl,4
kterýž,připravit,cesta,4
kdo,pohrdat,vy,4
kdož,pohrdat,vy,4
kdož,pohrdat,ten,4
ť,pohrdat,vy,4
ť,pohrdat,ten,4
já,vymítat,ďáblo,4
pakle,přijít,bdění,4
pán,potřebovat,on,4
pán,říci,pán,4
David,nazývat,on,4
David,nazývat,pán,4
kdož,být,vy,4
Petr,jít,on,4
tma,stát,hodina,4
obět,být,dobytek,4
díl,přidat,ten,4
kněz,očistit,Hospodin,4
malomocenství,přikrýt,kůže,4
malomocenství,přikrýt,hlava,4
poškvrna,rozmohnout,očištění,4
ráno,být,roucha,4
kdož,mít,tok,4
Aron,obětovat,obět,4
kdož,zabít,vně,4
kdož,zabít,stan,4
žádný,jíst,věc,4
nájemník,jíst,věc,4
kole,obětovat,obět,4
kdož,zabít,hovado,4
kdož,zabít,člověk,4
úrod,mít,pokrm,4
strýc,vyplatit,on,4
země,vydat,vy,4
kterýž,bát,Hospodina,4
všickn,chodit,jméno,4
národ,chodit,jméno,4
jeden,chodit,jméno,4
my,chodit,jméno,4
srdce,být,já,4
kdo,říci,vy,4
všecheň,pravit,ť,4
Bděte,pravit,ť,4
mnohý,jít,on,4
strom,nést,ovoce,4
zlý,nést,ovoce,4
kdož,slyšet,slovo,4
kdo,přijímat,jméno,4
kdož,přijímat,jméno,4
přijímat,vzít,odplata,4
kdo,přisáhnout,oltář,4
kdo,přisáhnout,dar,4
kdož,přisahat,ten,4
což,být,konev,4
oheň,sžíř,ty,4
počet,nechat,ť,4
tiť,vystavět,on,4
Mea,vystavět,on,4
Meremot,opravovat,on,4
Mesullam,opravovat,on,4
Uziel,opravovat,on,4
pokolení,položit,on,4
ten,schýlit,Sefama,4
ten,schýlit,Reblat,4
pomezí,schýlit,Sefama,4
pomezí,schýlit,Reblat,4
sestro,mít,choť,4
přítelkyně,mít,sestro,4
holubičko,mít,sestro,4
matka,počít,ty,4
rodička,počít,ty,4
kdo,ostříhat,ústa,4
ostříhat,ostříhat,ústa,4
někdo,dělat,chudý,4
kterýž,spát,prostřed,4
kterýž,spát,vrch,4
lev,být,cesta,4
lev,být,ulice,4
vina,přijít,ospravedlnění,4
milost,přijít,ospravedlnění,4
kterýž,vzkřísit,Kristus,4
bůh,vzkřísit,mrtvý,4
šetřit,šetřit,pán,4
Izai,zplodit,David,4
Slyštež,zpívat,hospodin,4
já,zpívat,hospodin,4
já,troubit,trouba,4
vy,troubit,trouba,4
on,pobít,kterýž,4
já,zplodit,ty,4
kterýž,bát,ty,4
sláva,nad,země,4
Necha,oslavovat,Hospodin,4
Necha,oslavovat,milosrdenství,4
kterýž,vzývat,pravda,4
anděl,vycházet,on,4
ten,pravit,ť,4
kterýž,sedět,trůn,4
kterýž,mít,srp,4
my,vidět,co,3
my,vidět,oko,3
my,vidět,což,3
každý,činit,hřích,3
svět,nenávidět,vy,3
kdož,ostříhat,přikázaný,3
kterýž,vyznávat,Jezukrista,3
kterýž,vyznávat,tělo,3
bůh,poslat,syn,3
bůh,dát,život,3
bůh,dát,my,3
kdož,mít,syn,3
já,být,vy,3
kterýž,milovat,on,3
bláznovství,být,on,3
muž,umřít,pakle,3
vy,mít,pán,3
kdo,mít,naděje,3
ten,přijít,nic,3
všickn,pozdravovat,vy,3
David,mít,kterýž,3
on,sedět,stolice,3
král,přisáhnout,Hospodina,3
král,ustanovit,král,3
Šalomoun,dosednout,stolice,3
syn,ostříhat,cesta,3
syn,učinit,co,3
syn,učinit,já,3
čtyřidcet,být,den,3
král,povstat,on,3
krev,být,hlava,3
Šalomoun,obětovat,tisíc,3
Šalomoun,obětovat,oltář,3
král,vynést,kterýž,3
Chíram,poslat,služebník,3
syn,vystavit,dům,3
syn,vystavit,jméno,3
řada,být,mřežování,3
Šalomoun,nadělat,dům,3
Šalomoun,obětovat,on,3
kterýž,mluvit,otec,3
hospodin,říci,David,3
cizozemec,přijít,země,3
daleký,přijít,země,3
